k    none    reg    psf1      psf5      psf25
1225  2.1041665248e+00   1.0000022607e+00   1.0118234493e+00   1.0095140843e+00    1.0032490759e+00
1230  2.1019341488e+00   1.0000021586e+00   1.0117532765e+00   1.0094499007e+00    1.0032195496e+00
1235  2.0997194885e+00   1.0000020418e+00   1.0116556382e+00   1.0093743350e+00    1.0031888777e+00
1240  2.0953822549e+00   1.0000019245e+00   1.0115645193e+00   1.0093107491e+00    1.0031645992e+00
1245  2.0919119756e+00   1.0000018485e+00   1.0115031103e+00   1.0092585788e+00    1.0031340121e+00
1250  2.0870469814e+00   1.0000017671e+00   1.0114128838e+00   1.0091817280e+00    1.0031107580e+00
1255  2.0848637733e+00   1.0000016592e+00   1.0113347106e+00   1.0091211051e+00    1.0030844323e+00
1260  2.0819910043e+00   1.0000015804e+00   1.0112398567e+00   1.0090442969e+00    1.0030566187e+00
1265  2.0790964646e+00   1.0000015030e+00   1.0111702732e+00   1.0089791628e+00    1.0030319350e+00
1270  2.0764398655e+00   1.0000014157e+00   1.0110909858e+00   1.0089327406e+00    1.0030009929e+00
1275  2.0734908203e+00   1.0000013554e+00   1.0110229131e+00   1.0088527594e+00    1.0029798018e+00
1280  2.0700874731e+00   1.0000012843e+00   1.0109299740e+00   1.0088025659e+00    1.0029561403e+00
1285  2.0671384467e+00   1.0000012271e+00   1.0108795212e+00   1.0087190007e+00    1.0029261070e+00
1290  2.0646373374e+00   1.0000011755e+00   1.0108052683e+00   1.0086766653e+00    1.0029028950e+00
1295  2.0601511148e+00   1.0000011255e+00   1.0107390208e+00   1.0086167999e+00    1.0028765485e+00
1300  2.0567763128e+00   1.0000010796e+00   1.0106581180e+00   1.0085439176e+00    1.0028559929e+00
1305  2.0542470119e+00   1.0000010282e+00   1.0105946959e+00   1.0084711200e+00    1.0028364277e+00
1310  2.0500208724e+00   1.0000009772e+00   1.0105278436e+00   1.0084224318e+00    1.0028170595e+00
1315  2.0467990197e+00   1.0000009334e+00   1.0104695008e+00   1.0083637726e+00    1.0027929909e+00
1320  2.0439335817e+00   1.0000008853e+00   1.0103889875e+00   1.0083103051e+00    1.0027692263e+00
