k none reg psf1 psf5 psf25 
411 433118.418215 1.582775 1.029007 1.033348 1.014985
412 432379.305149 1.580721 1.028939 1.033066 1.014935
413 431531.083084 1.572992 1.028829 1.032834 1.014911
414 430911.779665 1.571150 1.028622 1.032735 1.014827
415 430530.005490 1.568215 1.028466 1.032635 1.014687
416 429581.780791 1.564460 1.028313 1.032431 1.014640
417 428592.227321 1.562960 1.028266 1.032234 1.014553
418 427767.572098 1.558900 1.028048 1.031924 1.014485
419 427383.329194 1.553614 1.027794 1.031821 1.014423
420 427007.494676 1.552281 1.027684 1.031678 1.014399
421 425616.051676 1.542996 1.027439 1.031581 1.014270
422 425277.030645 1.541176 1.027327 1.031251 1.014252
423 424757.832406 1.537918 1.027230 1.031209 1.014160
424 424106.457993 1.532707 1.027148 1.030830 1.014073
425 423030.640225 1.529157 1.026851 1.030671 1.013960
426 422668.047992 1.528625 1.026569 1.030517 1.013896
427 422462.988226 1.523536 1.026466 1.030506 1.013720
428 420616.457751 1.520392 1.026342 1.030355 1.013699
429 420028.446761 1.516812 1.026268 1.030249 1.013632
430 419534.341699 1.516221 1.026185 1.030133 1.013519
431 419280.937789 1.503717 1.026083 1.029819 1.013441
432 418642.439015 1.502830 1.025853 1.029789 1.013324
433 418062.498727 1.499620 1.025800 1.029585 1.013273
434 417221.248365 1.498580 1.025662 1.029333 1.013236
435 416408.870168 1.491426 1.025533 1.029143 1.013089
436 415742.518305 1.490212 1.025460 1.029032 1.013045
437 414854.423079 1.487215 1.025423 1.028905 1.012960
438 414097.460810 1.483674 1.025392 1.028770 1.012858
439 413423.804778 1.481309 1.025232 1.028606 1.012781
440 413142.742584 1.476597 1.025084 1.028562 1.012724
441 412797.132155 1.473514 1.024690 1.028450 1.012665
442 412392.913038 1.471544 1.024455 1.028320 1.012542
443 411745.570979 1.467638 1.024367 1.028227 1.012490
444 411457.755476 1.465107 1.024131 1.027995 1.012353
445 410652.654430 1.464405 1.023964 1.027895 1.012289
446 409972.736887 1.460217 1.023833 1.027876 1.012250
447 409729.869521 1.458704 1.023690 1.027633 1.012187
448 409159.299355 1.456944 1.023546 1.027355 1.012029
449 408466.196337 1.452493 1.023388 1.027336 1.012000
450 408175.773818 1.449549 1.023258 1.027229 1.011846
451 407567.750803 1.446925 1.023098 1.027068 1.011692
452 407185.339523 1.443888 1.022942 1.026996 1.011642
453 406921.520930 1.441154 1.022858 1.026842 1.011588
454 406460.671518 1.437734 1.022697 1.026749 1.011474
455 405977.783626 1.434479 1.022654 1.026458 1.011434
456 405777.906669 1.432464 1.022437 1.026382 1.011302
457 405548.433545 1.428844 1.022392 1.026252 1.011278
458 405328.616144 1.427197 1.022303 1.026224 1.011232
459 404276.364447 1.423394 1.022233 1.026128 1.011197
460 403975.175638 1.423290 1.022165 1.025853 1.011138
461 403620.479791 1.418243 1.022024 1.025581 1.011105
462 403112.051284 1.416253 1.021830 1.025404 1.010970
463 402040.262595 1.415697 1.021714 1.025064 1.010857
464 401350.690664 1.412160 1.021599 1.024987 1.010782
465 400648.842289 1.408218 1.021416 1.024899 1.010600
466 400273.070225 1.407440 1.021305 1.024855 1.010528
467 399531.924714 1.403069 1.021108 1.024776 1.010510
468 399465.106686 1.402769 1.021071 1.024611 1.010483
469 398266.580399 1.399816 1.020878 1.024495 1.010371
470 398011.375250 1.398131 1.020839 1.024378 1.010327
471 397899.309980 1.395987 1.020759 1.024111 1.010262
472 397830.751773 1.391037 1.020699 1.024073 1.010237
473 397378.879450 1.389992 1.020497 1.023936 1.010183
474 396984.921513 1.387037 1.020427 1.023905 1.010090
475 396201.322328 1.385774 1.020231 1.023801 1.009994
476 396037.205494 1.382883 1.020196 1.023712 1.009967
477 395827.703851 1.380070 1.019858 1.023475 1.009931
478 395418.180384 1.378493 1.019703 1.023392 1.009825
479 395225.842382 1.377727 1.019612 1.023377 1.009762
480 394749.702744 1.375238 1.019513 1.023135 1.009643
481 393765.431035 1.371594 1.019453 1.022918 1.009590
482 393050.527189 1.368697 1.019280 1.022776 1.009536
483 392770.655109 1.367032 1.019184 1.022689 1.009514
484 392444.272192 1.365560 1.019072 1.022603 1.009440
485 391983.642111 1.365357 1.018880 1.022378 1.009337
486 391536.577013 1.362582 1.018792 1.022304 1.009307
487 391103.993095 1.359823 1.018511 1.022199 1.009294
488 390120.166531 1.358303 1.018461 1.022052 1.009145
489 389565.978910 1.355134 1.018432 1.022011 1.009096
490 389318.956278 1.353310 1.018389 1.021729 1.009056
491 388853.906641 1.351270 1.018315 1.021655 1.008977
492 388246.513648 1.350110 1.018169 1.021532 1.008902
